CLIENT_ID,BANKING_CHANNEL_NAME,INTERACTION_DATE,INTERACTION_TYPE,INTERACTION_ID,ROW_INSERT_DATE
607834045342331,Call center,2021-01-31,Transaction,IFD0TVBD,2021-02-01
356171483220814,Call center,2020-03-25,IVR Options,ZZPQK51F,2020-03-28
236885424739667,Branch,2020-05-31,Withdraw,8MDD4V30,2020-06-04
909743201498022,Financial Advisor,2024-03-11,Financial Advice,KW5NGCX1,2024-03-11
605576281624317,ATM,2022-04-06,Withdraw,KWNNHJ7X,2022-04-10
607834045342331,ATM,2020-09-29,Deposit,FN9XUY41,2020-09-30
766930157140880,Call center,2022-07-02,IVR Options,JH75LXO6,2022-07-05
141542222941829,Branch,2020-10-07,Withdraw,0T0PVN9E,2020-10-10
109891937630845,Call center,2019-09-19,Transaction,W2PCN9T8,2019-09-19
450685582146032,Call center,2024-01-09,IVR Options,11MKFAZZ,2024-01-13
72526651937588,ATM,2019-03-12,Deposit,5KXVF1T2,2019-03-16
987123297556082,Call center,2021-08-20,IVR Options,REN93IIU,2021-08-20
109891937630845,Financial Advisor,2023-12-22,Financial Advice,1ERTJ5PH,2023-12-26
72526651937588,ATM,2022-06-23,Withdraw,9XPSEIMV,2022-06-24
563085185115157,ATM,2018-10-18,Withdraw,ZCCBLSKR,2018-10-22
141542222941829,Financial Advisor,2023-04-22,Financial Advice,3GDPPQ0Y,2023-04-27
909743201498022,Call center,2021-10-21,IVR Options,2DGTFGQ5,2021-10-21
628072475816388,Call center,2025-04-25,Transaction,94874FRH,2025-04-28
331450967899881,Call center,2022-04-02,Transaction,AO72KZ02,2022-04-07
556650697416872,Financial Advisor,2020-02-17,Financial Advice,K8UT0CVS,2020-02-21
934825933589313,Call center,2018-11-25,IVR Options,4CC5O7UU,2018-11-25
299225962793859,Call center,2025-05-16,IVR Options,VS7HZIOY,2025-05-18
628072475816388,Branch,2018-02-08,Withdraw,Q99CHJ75,2018-02-09
770606327769161,Branch,2022-11-30,Withdraw,4ZW9XA3K,2022-12-05
909743201498022,ATM,2019-04-18,Withdraw,60FKHMY4,2019-04-22
866044393174181,Branch,2019-01-14,Withdraw,W3BME9FP,2019-01-19
521456248803055,Call center,2018-11-05,Transaction,8YFBNTPB,2018-11-07
331450967899881,Call center,2020-05-10,IVR Options,YYMU5907,2020-05-11
605576281624317,ATM,2022-08-16,Withdraw,A0L7253J,2022-08-21
909743201498022,Financial Advisor,2023-04-12,Financial Advice,I3QK2IAG,2023-04-14
114717275647922,Call center,2021-12-09,IVR Options,XO9T7E8G,2021-12-11
860620340656739,Call center,2022-11-15,IVR Options,M2P9E6GB,2022-11-18
384087128114449,ATM,2022-11-02,Deposit,CXLL4ZKL,2022-11-05
236885424739667,Financial Advisor,2024-03-20,Financial Advice,EP7Y6WKT,2024-03-20
940127394285359,Branch,2022-10-27,Withdraw,2VLPYS28,2022-11-01
934825933589313,Call center,2023-10-13,IVR Options,XWD8IL3F,2023-10-13
257592776301977,Financial Advisor,2018-10-26,Financial Advice,Q5UZNOFY,2018-10-26
72526651937588,Financial Advisor,2019-12-22,Financial Advice,2ZQU7EEQ,2019-12-26
639588377270244,Branch,2024-11-14,Deposit,36P6QF5Q,2024-11-15
766930157140880,Branch,2023-06-08,Deposit,WJCKJLTE,2023-06-09
193683550044131,ATM,2018-09-21,Withdraw,OLQC3O18,2018-09-21
605576281624317,Financial Advisor,2018-01-25,Financial Advice,7KO64T02,2018-01-26
866044393174181,ATM,2022-11-21,Withdraw,RNY20479,2022-11-25
384087128114449,Financial Advisor,2024-04-30,Financial Advice,XDP5GJLQ,2024-05-02
72526651937588,Financial Advisor,2022-09-23,Financial Advice,JCAT9MX2,2022-09-28
860620340656739,Call center,2020-03-27,IVR Options,4WIRE8QJ,2020-03-29
934825933589313,Call center,2021-06-28,Transaction,DALY8OZC,2021-07-03
766930157140880,ATM,2025-10-26,Withdraw,14VE92MP,2025-10-28
109891937630845,Branch,2022-09-17,Withdraw,3D8W3ZP0,2022-09-22
114717275647922,Financial Advisor,2022-11-20,Financial Advice,3VLI7KQ1,2022-11-24
299225962793859,Financial Advisor,2018-04-28,Financial Advice,RLRMJKV5,2018-05-02
384087128114449,ATM,2020-09-15,Withdraw,ZR1YXR2D,2020-09-16
193683550044131,ATM,2025-06-12,Withdraw,URTP0LZJ,2025-06-14
257592776301977,Call center,2020-02-28,Report Fraud,L08YG0JV,2020-03-03
299225962793859,Branch,2020-03-06,Withdraw,KMKZEBBK,2020-03-07
607834045342331,Financial Advisor,2018-02-20,Financial Advice,UQPGB7R3,2018-02-23
866044393174181,Call center,2025-01-22,IVR Options,YF38DIUO,2025-01-26
527979585658777,ATM,2022-04-08,Deposit,QP49KWV0,2022-04-09
607834045342331,ATM,2025-05-29,Withdraw,CITFOYQB,2025-05-31
556650697416872,Branch,2018-10-19,Deposit,Y72WX7PT,2018-10-24
141542222941829,Branch,2018-10-20,Withdraw,C2V37PQK,2018-10-23
114717275647922,Financial Advisor,2018-11-26,Financial Advice,V60VAIY4,2018-11-30
384087128114449,Branch,2018-06-14,Deposit,1GSPK9P3,2018-06-14
866044393174181,Branch,2021-09-27,Deposit,LDFORXO1,2021-09-27
628072475816388,Call center,2020-10-30,IVR Options,L8OS9XTO,2020-10-31
356171483220814,Branch,2023-08-04,Deposit,W1HT7PZE,2023-08-09
299225962793859,ATM,2021-06-26,Withdraw,TTD96QE3,2021-06-29
987123297556082,Branch,2025-11-29,Deposit,J49ITN7S,2025-11-30
605576281624317,Call center,2022-08-27,IVR Options,M2JA04UX,2022-08-28
628072475816388,Financial Advisor,2021-09-23,Financial Advice,TTQLGZUI,2021-09-26
860620340656739,Branch,2025-11-28,Deposit,6N92XF8E,2025-12-02
236885424739667,Call center,2019-02-13,IVR Options,SQ0OXFQ8,2019-02-15
299225962793859,Financial Advisor,2021-09-07,Financial Advice,44NLZ15B,2021-09-07
257592776301977,Branch,2019-01-06,Withdraw,PDW5PY6B,2019-01-06
940127394285359,Branch,2022-10-31,Deposit,FTU2GC5W,2022-11-01
866044393174181,ATM,2023-03-04,Withdraw,WQY6QKTC,2023-03-06
563085185115157,Branch,2022-10-04,Report Fraud,YQK94DNM,2022-10-06
556650697416872,Branch,2025-05-20,Withdraw,OA529603,2025-05-22
72526651937588,ATM,2021-12-14,Deposit,HGJ11YED,2021-12-19
607834045342331,Call center,2022-12-11,IVR Options,BNE6LOH2,2022-12-13
356171483220814,Branch,2020-11-18,Withdraw,678K52QC,2020-11-19
605576281624317,Financial Advisor,2022-02-07,Financial Advice,DOJEN0JN,2022-02-12
770606327769161,Call center,2020-08-15,IVR Options,QW7LVXWQ,2020-08-20
940127394285359,Financial Advisor,2019-07-27,Financial Advice,BB9EITNN,2019-08-01
556650697416872,Financial Advisor,2019-09-25,Financial Advice,5X4W7KYH,2019-09-28
257592776301977,Branch,2025-09-09,Withdraw,N6XCJ883,2025-09-09
450685582146032,ATM,2018-03-29,Deposit,BM92H3TV,2018-03-30
236885424739667,ATM,2018-01-12,Deposit,J99T2D5E,2018-01-14
527979585658777,ATM,2021-08-19,Deposit,AJEPECQN,2021-08-23
909743201498022,Financial Advisor,2020-06-26,Financial Advice,8B25SQ8C,2020-06-29
605576281624317,Financial Advisor,2025-09-11,Financial Advice,DZP6LFEW,2025-09-15
639588377270244,Branch,2024-09-12,Deposit,TQVDZ4X1,2024-09-17
605576281624317,ATM,2023-01-24,Deposit,5O3O0LLJ,2023-01-25
450685582146032,Financial Advisor,2019-01-09,Financial Advice,3DD03UVU,2019-01-11
450685582146032,Call center,2021-12-19,IVR Options,57P6BKLD,2021-12-23
217498896198079,ATM,2020-07-07,Deposit,4MUEKIPU,2020-07-11
299225962793859,Call center,2025-05-18,IVR Options,3JGZLMA5,2025-05-22
450685582146032,Financial Advisor,2019-08-05,Financial Advice,08DTNQFL,2019-08-07
72526651937588,Call center,2019-09-30,Transaction,FWYJXRPJ,2019-10-04
909743201498022,Branch,2019-03-31,Deposit,KYRYBOVA,2019-04-02
217498896198079,ATM,2021-03-31,Withdraw,LA0GNZS4,2021-04-02
109891937630845,Financial Advisor,2022-11-22,Financial Advice,A75UUZPE,2022-11-22
236885424739667,ATM,2023-02-28,Deposit,37D4IVSO,2023-03-02
707441172261855,Branch,2021-09-26,Withdraw,2CWTG1M8,2021-10-01
766930157140880,ATM,2019-02-26,Withdraw,FHV1XG1R,2019-03-02
72526651937588,Financial Advisor,2025-03-18,Financial Advice,WW5WFCPK,2025-03-20
563085185115157,Call center,2023-09-10,IVR Options,CQBNKX9D,2023-09-14
356171483220814,Financial Advisor,2024-07-05,Financial Advice,T26Q3XLR,2024-07-06
860620340656739,Financial Advisor,2021-11-07,Financial Advice,9DXBZ9SV,2021-11-09
770606327769161,Branch,2022-08-02,Deposit,1YBWMLUN,2022-08-04
707441172261855,ATM,2018-11-30,Deposit,UFM8ZOV7,2018-12-02
639588377270244,Financial Advisor,2019-06-08,Financial Advice,Y30YSXPN,2019-06-10
940127394285359,ATM,2021-10-31,Withdraw,8RIEC4D1,2021-11-05
331450967899881,Call center,2021-10-11,IVR Options,5WVFGYW6,2021-10-16
628072475816388,Call center,2022-02-01,IVR Options,YIPK0QTL,2022-02-04
331450967899881,ATM,2025-08-10,Deposit,89QKNS83,2025-08-14
141542222941829,Branch,2025-03-11,Withdraw,RN7ZSEDF,2025-03-14
331450967899881,ATM,2019-01-11,Deposit,8HQMABSI,2019-01-11
770606327769161,ATM,2021-07-29,Withdraw,74X2EK3Z,2021-07-30
72526651937588,Financial Advisor,2024-11-25,Financial Advice,ACJ4T0SE,2024-11-27
257592776301977,Branch,2018-07-15,Withdraw,IXWC4RTW,2018-07-19
257592776301977,ATM,2022-10-25,Withdraw,AMUGYSM8,2022-10-29
356171483220814,Call center,2023-04-10,IVR Options,BNN0MCIX,2023-04-10
72526651937588,Branch,2018-07-01,Withdraw,MMX3Y9RG,2018-07-02
109891937630845,Financial Advisor,2021-04-16,Financial Advice,H25LLO3R,2021-04-16
72526651937588,ATM,2022-01-02,Withdraw,5BXJ2POP,2022-01-05
236885424739667,ATM,2025-10-05,Deposit,R7S20CV3,2025-10-09
940127394285359,Branch,2018-11-24,Withdraw,LKQZFPQ0,2018-11-26
299225962793859,Financial Advisor,2025-03-04,Financial Advice,98CWN2Y8,2025-03-05
605576281624317,Financial Advisor,2019-06-02,Financial Advice,C2NNUVY8,2019-06-04
628072475816388,Call center,2019-07-18,IVR Options,TOXIE0RN,2019-07-22
909743201498022,Branch,2025-11-23,Withdraw,Q9K6RE4Q,2025-11-28
628072475816388,Call center,2021-08-02,IVR Options,YZTKKFZZ,2021-08-03
527979585658777,Branch,2020-07-07,Deposit,EHE2ATN2,2020-07-11
141542222941829,Call center,2021-06-20,Transaction,OZROOUEL,2021-06-20
628072475816388,Financial Advisor,2021-11-12,Financial Advice,E3TV1ES5,2021-11-12
356171483220814,ATM,2019-11-06,Withdraw,F7I8SKCH,2019-11-10
114717275647922,ATM,2024-11-21,Withdraw,TSG7FXZV,2024-11-25
860620340656739,Call center,2018-07-06,Transaction,81JHUWB6,2018-07-10
940127394285359,Branch,2020-09-30,Deposit,2YKCCPRH,2020-10-04
141542222941829,Branch,2021-11-15,Deposit,9ENULQJI,2021-11-15
860620340656739,Branch,2024-11-25,Deposit,P8637ZGF,2024-11-29
628072475816388,Financial Advisor,2023-07-31,Financial Advice,A8S8HMBR,2023-08-05
450685582146032,Financial Advisor,2024-01-08,Financial Advice,ADEJNOBB,2024-01-12
217498896198079,Branch,2021-03-28,Deposit,CS1K9YE9,2021-03-31
770606327769161,Branch,2022-02-06,Deposit,1HSSBELR,2022-02-09
141542222941829,ATM,2024-11-16,Deposit,LOW4VSSR,2024-11-20
940127394285359,Financial Advisor,2022-02-17,Financial Advice,LDOL65WV,2022-02-19
607834045342331,ATM,2024-07-18,Withdraw,RSZ1N3IU,2024-07-23
909743201498022,ATM,2022-12-12,Withdraw,LFYO1750,2022-12-12
556650697416872,ATM,2020-04-29,Deposit,U9RN8QTT,2020-05-04
72526651937588,Branch,2023-06-07,Deposit,GIUI9KKH,2023-06-12
866044393174181,Branch,2021-11-29,Deposit,U7ZKUT6O,2021-12-01
72526651937588,ATM,2018-06-22,Withdraw,KZMPJRHT,2018-06-26
556650697416872,Branch,2019-03-24,Withdraw,WVIYTWBO,2019-03-29
866044393174181,Call center,2019-07-18,IVR Options,AT7O75RH,2019-07-20
236885424739667,Branch,2019-01-02,Withdraw,XI04B7P4,2019-01-02
766930157140880,Financial Advisor,2020-02-03,Financial Advice,7875AUD9,2020-02-05
628072475816388,Financial Advisor,2023-08-28,Financial Advice,QGEFQJG0,2023-08-30
563085185115157,ATM,2024-11-07,Withdraw,463SDYGF,2024-11-09
987123297556082,ATM,2020-12-04,Withdraw,NQJLUUJM,2020-12-05
860620340656739,Call center,2021-06-10,IVR Options,FY751YW7,2021-06-12
299225962793859,ATM,2019-07-02,Withdraw,RQ9NZ612,2019-07-03
72526651937588,ATM,2018-12-02,Deposit,STN7E36H,2018-12-06
141542222941829,ATM,2023-11-02,Deposit,PYZR6QCE,2023-11-05
628072475816388,Call center,2023-03-09,IVR Options,YLAJAHCP,2023-03-14
109891937630845,Call center,2023-04-18,Transaction,BO119XP9,2023-04-21
628072475816388,Financial Advisor,2018-11-25,Financial Advice,YXTXMGTT,2018-11-30
257592776301977,Call center,2021-05-07,Transaction,QZPNIQFG,2021-05-12
72526651937588,Call center,2025-05-28,Transaction,P15AHDBV,2025-06-02
605576281624317,Call center,2018-07-01,IVR Options,OIH5CSK3,2018-07-06
563085185115157,Branch,2024-09-15,Deposit,13I59SOJ,2024-09-19
563085185115157,ATM,2024-03-26,Deposit,R97Y2LOF,2024-03-29
934825933589313,Financial Advisor,2020-07-12,Financial Advice,KZ36U8UE,2020-07-13
114717275647922,ATM,2025-04-02,Deposit,CQNT3BNV,2025-04-02
605576281624317,Call center,2024-08-03,Transaction,0UR5L8A7,2024-08-08
909743201498022,Financial Advisor,2025-10-20,Financial Advice,VH6T1NTM,2025-10-22
770606327769161,Financial Advisor,2019-02-08,Financial Advice,201LHLB5,2019-02-13
141542222941829,Call center,2024-03-16,IVR Options,7UPFLN4R,2024-03-21
450685582146032,Branch,2023-06-25,Withdraw,8XRG2GZR,2023-06-29
607834045342331,Call center,2018-05-19,IVR Options,4C3BAEWC,2018-05-20
384087128114449,ATM,2023-02-11,Deposit,NWYWRRAT,2023-02-11
384087128114449,Branch,2021-03-20,Deposit,A3Y36DDF,2021-03-21
299225962793859,Branch,2020-12-30,Deposit,2C8QIZK3,2020-12-30
607834045342331,Call center,2022-07-19,Transaction,NTCAGRP2,2022-07-23
605576281624317,Call center,2018-06-24,IVR Options,I6YUJ7YK,2018-06-28
563085185115157,Call center,2021-07-12,Transaction,AHF337KU,2021-07-16
766930157140880,Financial Advisor,2021-09-20,Financial Advice,N02YC0MD,2021-09-21
766930157140880,Call center,2024-10-14,IVR Options,18O1BJ9R,2024-10-16
639588377270244,Financial Advisor,2020-01-31,Financial Advice,YXDW2ZCF,2020-02-05
527979585658777,ATM,2021-07-21,Deposit,MD7Q1DDP,2021-07-25
639588377270244,Financial Advisor,2018-04-18,Financial Advice,DTV25AO2,2018-04-23
331450967899881,ATM,2023-11-05,Deposit,GNEKRCPP,2023-11-08
527979585658777,Call center,2020-10-27,IVR Options,7ZRWQEAO,2020-10-31
193683550044131,Branch,2021-10-03,Deposit,P3XVKVZR,2021-10-04
193683550044131,Branch,2025-10-17,Withdraw,W82LK2N7,2025-10-18
563085185115157,ATM,2018-04-21,Deposit,8QZPKY32,2018-04-24
450685582146032,Financial Advisor,2025-02-07,Financial Advice,KJFPNQVU,2025-02-11
356171483220814,Financial Advisor,2018-05-31,Financial Advice,2M6TWD1X,2018-06-02
934825933589313,Call center,2025-03-27,IVR Options,YO18PAJS,2025-03-31
639588377270244,ATM,2022-03-13,Deposit,O1VSMADO,2022-03-13
909743201498022,ATM,2021-07-01,Deposit,M2SMDZQC,2021-07-01
527979585658777,Call center,2021-11-06,Transaction,XYF9IGFU,2021-11-09
257592776301977,Financial Advisor,2020-02-03,Financial Advice,XPBWHVNZ,2020-02-04
114717275647922,Call center,2019-02-21,IVR Options,2TNHEYR8,2019-02-23
299225962793859,Financial Advisor,2022-05-27,Financial Advice,VM4W3ZKW,2022-05-27
450685582146032,ATM,2019-04-28,Deposit,IENFNVUP,2019-05-01
607834045342331,ATM,2019-11-15,Deposit,RFLQBMAE,2019-11-18
639588377270244,Financial Advisor,2025-09-05,Financial Advice,RZPGU2HB,2025-09-06
639588377270244,Branch,2023-02-17,Withdraw,U1RSUJT9,2023-02-21
766930157140880,Call center,2022-12-13,Report Fraud,T9D31K9Q,2022-12-15
605576281624317,Call center,2019-04-26,IVR Options,1I3VMZWF,2019-04-27
527979585658777,ATM,2018-09-01,Withdraw,UTVG9KU8,2018-09-05
331450967899881,Call center,2022-08-13,Transaction,795E5IZ3,2022-08-18
193683550044131,Financial Advisor,2024-06-23,Financial Advice,WWNC21O0,2024-06-28
987123297556082,Branch,2023-06-23,Deposit,LA100QXM,2023-06-23
527979585658777,Financial Advisor,2022-10-26,Financial Advice,3RLKTE42,2022-10-31
72526651937588,Call center,2019-02-12,Transaction,W4A7FQ9P,2019-02-17
987123297556082,ATM,2019-10-14,Withdraw,55DMCXXB,2019-10-19
940127394285359,ATM,2025-05-08,Deposit,DDHCVSQA,2025-05-10
766930157140880,Call center,2025-10-13,IVR Options,ECN0DL5E,2025-10-14
607834045342331,ATM,2023-12-13,Withdraw,UVFMH07W,2023-12-16
605576281624317,ATM,2019-02-16,Withdraw,FE0MP2IX,2019-02-17
639588377270244,Branch,2025-05-20,Withdraw,5HVGOX22,2025-05-21
866044393174181,Financial Advisor,2020-09-14,Financial Advice,RVT997E4,2020-09-18
521456248803055,Branch,2025-08-29,Deposit,GQ9CVAH7,2025-09-01
356171483220814,Branch,2025-12-28,Report Fraud,SOZCTWJL,2026-01-01
987123297556082,ATM,2024-01-07,Withdraw,LV1XXLP8,2024-01-08
860620340656739,ATM,2022-11-15,Withdraw,EWBXXGAE,2022-11-15
934825933589313,Financial Advisor,2023-11-13,Financial Advice,S3JN050E,2023-11-13
236885424739667,Financial Advisor,2023-11-16,Financial Advice,CZUCQMRU,2023-11-18
934825933589313,Branch,2024-06-08,Withdraw,YE0A4ABN,2024-06-09
934825933589313,Call center,2026-01-03,IVR Options,0PLOZJCN,2026-01-07
450685582146032,Call center,2020-07-03,Transaction,298CQK4L,2020-07-07
628072475816388,Call center,2020-04-01,IVR Options,K20IN891,2020-04-06
331450967899881,ATM,2018-01-27,Withdraw,7ATWYAM1,2018-01-30
605576281624317,Branch,2020-04-20,Withdraw,TIRC9ZD7,2020-04-24
521456248803055,Branch,2018-12-14,Deposit,USWOVCXE,2018-12-16
114717275647922,Branch,2025-11-10,Deposit,3LQI7E1D,2025-11-10
934825933589313,Financial Advisor,2021-07-10,Financial Advice,OT8HLJEF,2021-07-15
940127394285359,Call center,2021-09-04,Transaction,FZ8OBK3G,2021-09-07
605576281624317,Financial Advisor,2024-03-03,Financial Advice,IQ2FA39E,2024-03-06
770606327769161,Call center,2024-07-28,IVR Options,J3AC6PE6,2024-07-30
909743201498022,Call center,2018-07-27,IVR Options,GU3OBYGH,2018-07-28
114717275647922,Branch,2019-09-01,Deposit,BWIKOTCK,2019-09-02
521456248803055,ATM,2020-10-17,Deposit,W2292MTR,2020-10-21
356171483220814,Branch,2021-01-12,Deposit,GLH62C9T,2021-01-16
257592776301977,ATM,2020-10-12,Withdraw,XJ37C9H4,2020-10-15
770606327769161,ATM,2020-08-26,Withdraw,V3Z6BZ8U,2020-08-30
